,pilot,mp,archetype,deck_uuid,place
561,Tyler Novak,12,Jeskai Oculus,dd2b3403-ea40-4819-b2d3-b2d10148090b,562
562,Grayson Nemets,12,Izzet Prowess,cbddd208-42f1-4f9c-876f-b2d10152f2b3,563
563,draftoholic,12,Izzet Prowess,321caed8-d709-44d6-a3db-b2d1015fdf6b,564
564,Trenton Hawes,12,Izzet Prowess,faf9791b-4353-423f-b784-b2d101584eb3,565
565,Chandler West,12,Izzet Prowess,c1f67f05-5d58-4500-9e99-b2d10059dc92,566
566,Joseph Hunt,12,Izzet Prowess,408ff97f-a2fc-460b-8e8d-b2d100fc5dfa,567
567,JP Gruchacz,12,Izzet Prowess,c03ff8ee-d07f-4c10-9c21-b2d00035d730,568
568,Haven Gilbert-Avila,12,Izzet Prowess,531617e5-0a9f-4478-b8ac-b2d1012f6bbe,569
569,Ryan Kerr,12,Izzet Prowess,2b7a4fff-c0a9-4f3c-8f28-b2d10061ed94,570
570,wjudson,12,Mono-Red Aggro,d98b2493-774d-4f96-bc2e-b2d101233455,571
571,Joey Hall,12,Izzet Prowess,0c04a1a2-df00-4198-8023-b2d10130526f,572
572,Ivan_Draw_Go,12,Esper Pixie,220365ee-25af-4850-96b0-b2cd00261afa,573
573,Aaronmac11,12,Esper Pixie,f563074e-e54a-4f01-a22a-b2d10007b436,574
574,Nicholas Lassen,12,Azorius Omniscience,492c13bd-517c-44b9-9873-b2d1013ef316,575
575,Marc Blesso,12,Jeskai Oculus,9656d7a2-7563-4ccc-b7b1-b2d0002e3b26,576
576,Stephen Hanlin,12,Jeskai Oculus,337d7ab9-3c5a-4b3b-afd5-b2d100f77264,577
577,Will Pulliam,12,Izzet Prowess,9600447b-e0e6-44e2-85b0-b2d100323fbe,578
578,Christopher Kral,12,Izzet Prowess,9693bf39-c396-4473-9dd5-b2d101703840,579
579,Phillip Langston,12,Izzet Prowess,1be154b6-6dff-49ae-b0c0-b2d10144fd08,580
580,Michael Nguyen,12,Azorius Omniscience,052263e3-413e-4a80-9d09-b2cf0049d6ed,581
581,Ethan Dunn,12,Izzet Prowess,add7ea2d-f373-4d31-9b90-b2d100305c9b,582
582,Aphidae,12,Jeskai Oculus,08a8a9c1-ffeb-4c09-a4df-b2d1016bc08b,583
583,Lucas Repp,12,Mono-Red Aggro,be91f0ac-6f9b-4abe-8889-b2d100dfbadb,584
584,Dancypluto270,12,Sultai Beanstalk,876b5b44-e74c-4f60-ae3c-b2d1014be7ac,585
585,Marcos Acosta,12,Golgari Midrange,63a813a9-84f9-4fa4-84c1-b2d1001fc33d,586
586,Stephen Gershon,12,Esper Pixie,e9d9d2a2-82cc-4085-9c08-b2d1014fa11c,587
587,Jeffrey Hipp,12,Boros Mice,743d6200-8c2b-494d-912b-b2d10104db42,588
588,GideonsGlizzy,12,Zur Overlords,620d7cc8-46b0-4d6a-b422-b2d000580758,589
589,ThomasLundquist,12,Gruul Mice,2e710cee-2c83-4e08-b6d7-b2d0000f201d,590
590,Alex Poulosky,12,Orzhov Pixie,42b3e8df-b3ab-40bc-aa55-b2d00041daae,591
591,Isaac Murray-Stark,12,Izzet Prowess,2c1eab7f-d701-48fc-bd6c-b2d100dbc56a,592
592,Rien,12,Izzet Prowess,c143699d-bae2-4532-92a2-b2d101781f4c,593
593,dylanfryer,12,Naya Legends,74074ee8-7af7-43c3-a646-b2d10030631f,594
594,Austin Silva,12,Jeskai Oculus,78285c71-55bf-44bc-9c56-b2d100147238,595
595,Mike Jarvis,12,Mono-Red Aggro,3e09e63f-b8dd-41b6-9c67-b2cf00f1b05d,596
596,landongolds,12,Boros Goblins,bf2de906-72b2-42d8-afe7-b2d000f5566f,597
597,Dylan Liebert,12,Zur Overlords,c8055f94-d7f0-4121-aded-b2d101732dfa,598
598,Mason  Wede,12,Izzet Prowess,086abfcf-4786-47ed-b5a4-b2d00002f1cd,599
599,Azeem Lyons,12,Temur Combo,bdbdeb3c-8420-4030-830c-b2d101030a2e,600
600,William Grogan,12,Jeskai Oculus,c8fece6b-133c-4742-accc-b2d00189dda9,601
601,Khyler Fields,12,Golgari Demons,f14e3b17-6240-4be2-aff1-b2d1002db5c3,602
602,Colton Haas,12,Izzet Prowess,e6614b43-019f-495a-8977-b2d10179a18c,603
603,Jeremy Wells,12,Orzhov Pixie,f4095a3c-3f0f-4237-91ed-b2d1010cf7ee,604
604,Curtis Lam,12,Jeskai Oculus,f2f3b27c-d2f1-42ff-befd-b2d1015a66be,605
605,Daniel Cole,12,Jeskai Control,24ce3307-39af-480d-b6b5-b2d1012d3b33,606
606,Mickey Cushing,12,Zur Overlords,5f7208fb-6f9d-44e3-b50d-b2d00156a7c1,607
607,Brett Kroeger,12,Azorius Omniscience,8c02a4df-5c34-4f34-a9e2-b2d001844fea,608
608,emmaskyeward,12,Esper Pixie,bf2d250b-35da-4a2f-bd9a-b2d101321a75,609
609,Jacob Koshak,12,Zur Overlords,c98b5030-400c-4182-8d0e-b2d10159845d,610
610,Steven Jacobs,12,Azorius Omniscience,1a15f69c-ae09-4f23-87cd-b2cf00250e56,611
611,Kevin Cubr,12,Dimir Midrange,77cc21ec-6410-4e6d-9a67-b2d1011315c2,612
612,Brian Zeng,12,Sultai Cauldron,1e4141cd-b32e-4987-b22b-b2ce010fa11e,613
613,Maxx Kominowski,12,Izzet Prowess,1cf361fd-f122-45c4-8b39-b2d1010fb7e9,614
614,Eli Loveman,12,Jeskai Oculus,8c9e6e45-b951-4ca4-bf6a-b2d0015f472b,615
615,Robert Taylor,12,Abzan Pixie,4a357a3c-1137-4018-b16e-b2d100519398,616
616,Holden Wolfe,12,Jeskai Convoke,bd9cc8fa-e031-4d19-9a4a-b2d000fb0afe,617
617,Patrick Tea,12,Naya Aggro,6b53a1ba-881b-43dc-9173-b2d10117a7e8,618
618,Jacob Nelson,12,Dimir Midrange,ad6f8685-b7f0-4008-ae5f-b2d10124b497,619
619,Aleksander Jones,12,Mono-Red Aggro,f841462f-f34a-4844-a262-b2d100c83b36,620
620,Adam Fischer,12,Izzet Prowess,86991b05-38c7-4468-bcff-b2d1011877c2,621
621,Sean Hutchison,12,Azorius Omniscience,0a0d543a-b9b0-4d71-abdb-b2cc0184f082,622
622,Derek Bailey,12,Jeskai Control,0bff23f4-a006-4e55-95dd-b2d1014f6be6,623
623,Hunter Ovington,12,Jeskai Oculus,b3987393-1f81-4ee7-a5db-b2d10154fbd4,624
624,Cody Weber,12,Zur Overlords,fe818f19-e492-427b-8757-b2d101748d24,625
625,Jeremiah Chatham,12,Izzet Prowess,43fb1f80-a10f-46bd-aaad-b2d10153d94b,626
626,Robert Graves,12,Azorius Control,c2729911-97cd-4b0f-a16d-b2d101112dd9,627
627,Dyllan Prindle,12,Jeskai Oculus,c0ebe4c6-e943-4101-ac00-b2d100147fc4,628
628,Naterooy,12,Izzet Prowess,89641008-3f0b-4920-bd21-b2d100253359,629
629,Festus Resendez,12,Izzet Dragons,85409292-0e90-4d5d-94ac-b2d1016a1489,630
630,Steve Cassity,12,Jeskai Oculus,92a74091-5df5-474a-9b76-b2d100259dd0,631
631,Sam Hassebroek,12,Izzet Prowess,cb90b07c-47a6-4323-ba9b-b2d001427f09,632
632,Jack Hazen,12,Izzet Prowess,837eefce-f609-4d09-a19f-b2d1016d225c,633
633,Jacob Ballington,12,Izzet Prowess,005383e2-ba2d-477a-a6dd-b2d1014190dc,634
634,JWKibler,12,Dimir Bounce,98a18496-0e0b-438c-85fc-b2d000e95b72,635
635,Brandon Chen,12,Izzet Prowess,b927b54c-e9be-4a47-b3d5-b2d100c8e497,636
636,Jonathon Kohli,12,Zur Overlords,b74bc09c-e523-4be6-9721-b2d1014f28f8,637
637,Dustin Heuston,12,Abzan Pixie,0d498e9c-124e-47c6-8a8a-b2d1015c21b8,638
638,Ethan Willoughby,12,Azorius Control,fd5ca69f-44d3-4210-8a2c-b2b40004abbf,639
639,Fletcher Johnson,12,Izzet Prowess,f2b83873-98a7-40da-bb94-fe57a0121944,640
640,james mondrik,12,Mono-Red Aggro,fd0c30ce-3b3b-4609-9ff8-b2d10136ece2,641
641,Zachary Plott,12,Jeskai Oculus,d7422d49-52c9-437f-a863-b2d000521a24,642
642,poiu45,12,Jeskai Oculus,8cfcdfcc-44c6-4301-b2bf-b2d10162f739,643
643,Robert Pompa,12,Jeskai Oculus,b0b1e01b-a619-4bc1-a501-b2cf006eb17b,644
644,Tyler Gomez,12,Zur Overlords,ede5e11d-8dc9-4324-a279-b2d1003f2f9b,645
645,Kevin Ryberg,12,Mono-Black Demons,dc3e73e2-5698-428b-a79d-b2d1010cff06,646
646,Daniel Buzzie,12,Jeskai Oculus,4f44a1b5-766f-40d7-ae07-b2d1017576d6,647
647,MichaelTucker,12,Selesnya Cage,13833ece-3082-4689-8ec0-b2d100132704,648
648,Kaloyan Petkov,12,Jeskai Oculus,dbbcfed5-af40-49f1-9f70-b2d10139cf5a,649
649,Jacob DuBois,12,Izzet Prowess,304ae5b0-6129-44ae-b22b-b2d1016dd44d,650
650,TheOutlawinLa,12,Dimir Midrange,ae1cd127-33c8-4c83-85d8-b2d0017d2c75,651
651,Joey DiGiacomo,12,Izzet Prowess,27049dc9-e850-4324-b491-b2cf00ec8fda,652
652,Xero7z,12,Azorius Omniscience,84c2ff91-c298-41f5-a4e3-b2cb0077c66b,653
653,Alex Hamilton,12,Izzet Prowess,fbe188fb-c465-4af5-9f82-b2d1005774f1,654
654,MsAngelfire,12,Mono-White Tokens,16f83639-0c9f-4604-9fee-b2d0000c6d07,655
655,Matthew Carlson,12,Jeskai Control,e22c6272-a3ed-464c-a6f7-b2d1010eb789,656
